sepal_length,sepal_width,petal_length,petal_width,petal_ratio,sepal_ratio,petal_area,sepal_area,label,event_id
5.164,3.571,1.801,0.358,5.0307262569832405,1.4460935312237466,0.6447579999999999,18.440644,setosa,198
4.618,3.721,1.321,0.273,4.8388278388278385,1.2410642300456867,0.36063300000000004,17.183578,setosa,114
6.468,3.122,5.52,2.262,2.4403183023872677,2.071748878923767,12.486239999999999,20.193096,virginica,119
6.053,3.141,5.012,1.431,3.502445842068483,1.927093282394142,7.172172,19.012473,versicolor,331
6.568,2.886,5.356,2.453,2.1834488381573585,2.2758142758142754,13.138267999999998,18.955248,virginica,44
5.639,3.61,1.578,0.26,6.069230769230769,1.562049861495845,0.41028000000000003,20.35679,setosa,105
6.045,3.055,4.192,1.107,3.786811201445348,1.978723404255319,4.640544,18.467475,versicolor,181
6.494,3.271,5.828,1.95,2.988717948717949,1.9853255885050443,11.364600000000001,21.241874,virginica,8
6.117,2.791,4.513,1.281,3.5230288836846215,2.1916875671802223,5.781153,17.072547,versicolor,205
4.217,3.116,1.252,0.674,1.857566765578635,1.3533376123234915,0.843848,13.140172,setosa,180
4.944,3.224,1.554,0.286,5.433566433566434,1.5334987593052107,0.44444399999999995,15.939456000000002,setosa,276
4.916,3.303,1.638,0.05,32.76,1.4883439297608236,0.0819,16.237548,setosa,330
6.399,2.86,4.912,1.605,3.060436137071651,2.2374125874125874,7.88376,18.30114,versicolor,7
5.949,2.506,4.701,1.414,3.3246110325318243,2.37390263367917,6.647213999999999,14.908193999999998,versicolor,94
5.111,3.405,2.014,0.05,40.279999999999994,1.501027900146843,0.1007,17.402955,setosa,60
5.175,3.207,1.635,0.295,5.5423728813559325,1.6136576239476146,0.482325,16.596224999999997,setosa,345
6.562,2.9,5.703,2.065,2.7617433414043586,2.2627586206896555,11.776695,19.0298,virginica,128
4.871,3.258,1.45,0.218,6.651376146788991,1.4950890116635975,0.3161,15.869718,setosa,210
6.389,2.948,5.198,1.894,2.7444561774023235,2.167232021709634,9.845012,18.834772,virginica,56
6.356,3.127,5.88,2.011,2.923918448533068,2.032619123760793,11.82468,19.875211999999998,virginica,293
4.758,3.586,0.9,0.699,1.2875536480686696,1.3268265476854435,0.6291,17.062188,setosa,123
5.164,3.509,2.079,0.209,9.947368421052634,1.4716443431176973,0.43451100000000004,18.120476,setosa,306
6.466,3.221,5.033,1.182,4.258037225042302,2.0074511021421917,5.949006,20.826986,versicolor,25
6.628,3.252,5.177,2.182,2.3725939505041245,2.038130381303813,11.296213999999999,21.554256,virginica,314
6.143,3.062,6.347,2.177,2.915480018373909,2.0062050947093404,13.817419000000001,18.809866,virginica,104
5.916,2.976,4.319,1.459,2.960246744345442,1.9879032258064517,6.301421,17.606016,versicolor,124
6.254,2.839,5.893,2.135,2.7601873536299766,2.2028883409651283,12.581554999999998,17.755105999999998,virginica,101
6.032,3.016,5.198,1.979,2.6265790803436078,2.0,10.286842000000002,18.192512,virginica,32
4.74,3.48,2.07,0.403,5.136476426799007,1.3620689655172415,0.83421,16.4952,setosa,240
5.982,2.554,4.457,1.625,2.742769230769231,2.342208300704777,7.242624999999999,15.278027999999999,versicolor,163
6.472,2.931,6.012,2.166,2.7756232686980606,2.2081200955305356,13.021992,18.969432,virginica,257
6.261,2.897,5.323,1.75,3.041714285714286,2.1612012426648257,9.31525,18.138116999999998,virginica,245
5.181,3.59,1.67,0.128,13.046875,1.4431754874651812,0.21376,18.59979,setosa,222
6.794,3.174,5.594,1.327,4.215523737754333,2.140516698172653,7.4232380000000004,21.564155999999997,virginica,176
4.513,3.512,1.975,0.05,39.5,1.2850227790432802,0.09875,15.849656,setosa,252
6.027,3.082,3.671,1.616,2.271658415841584,1.9555483452303701,5.932336,18.575214,versicolor,70
6.339,2.938,5.936,1.96,3.0285714285714285,2.157590197413206,11.63456,18.623982,virginica,158
4.275,3.501,1.24,0.459,2.701525054466231,1.2210796915167097,0.56916,14.966775,setosa,168
6.419,3.103,5.448,1.927,2.8271925272444216,2.068643248469223,10.498296000000002,19.918157,virginica,344
6.288,2.572,4.5,1.417,3.1757233592095977,2.4447900466562986,6.3765,16.172736,versicolor,61
4.62,3.239,1.184,0.397,2.9823677581863977,1.4263661623958013,0.470048,14.964179999999999,setosa,213
6.248,3.09,4.161,1.354,3.073116691285081,2.0220064724919093,5.6339939999999995,19.30632,versicolor,85
5.373,3.525,1.634,0.05,32.67999999999999,1.5242553191489363,0.0817,18.939825,setosa,9
6.403,2.874,3.885,1.62,2.398148148148148,2.227905358385525,6.2937,18.402222,versicolor,271
5.84,3.086,4.927,2.04,2.4151960784313724,1.8924173687621517,10.051079999999999,18.02224,versicolor,262
5.44,2.966,4.495,1.186,3.7900505902192245,1.8341200269723534,5.3310699999999995,16.135040000000004,versicolor,337
6.195,2.897,4.218,1.155,3.651948051948052,2.138419054193994,4.87179,17.946915,versicolor,19
6.337,3.029,5.886,2.137,2.754328497894244,2.0921096071310665,12.578382,19.194772999999998,virginica,2
6.767,3.325,5.121,2.375,2.15621052631579,2.035187969924812,12.162375,22.500275000000002,virginica,242
6.458,2.882,5.578,1.848,3.0183982683982684,2.2408049965301875,10.308144,18.611956000000003,virginica,59
5.219,3.517,1.314,0.364,3.60989010989011,1.4839351720216094,0.478296,18.355223000000002,setosa,6
5.317,3.85,1.398,0.244,5.729508196721311,1.381038961038961,0.34111199999999997,20.47045,setosa,87
6.329,2.712,4.474,1.431,3.1264849755415796,2.333702064896755,6.402294,17.164248,versicolor,226
6.056,3.068,4.588,1.266,3.624012638230648,1.9739243807040416,5.808408,18.579808,versicolor,349
6.395,2.879,5.876,1.972,2.979716024340771,2.2212573810350813,11.587472,18.411205,virginica,254
5.972,2.63,4.683,1.247,3.7554129911788285,2.2707224334600764,5.839701000000001,15.70636,versicolor,31
6.089,3.082,5.364,1.973,2.718702483527623,1.975665152498378,10.583172,18.766298,virginica,116
6.45,3.03,3.956,1.175,3.3668085106382977,2.128712871287129,4.6483,19.543499999999998,versicolor,133
6.456,2.99,5.763,2.098,2.7469018112488084,2.159197324414716,12.090774,19.303440000000002,virginica,272
6.464,2.82,5.069,2.028,2.499506903353057,2.292198581560284,10.279932,18.22848,virginica,299
6.106,2.721,4.829,1.282,3.766770670826833,2.2440279309077544,6.190778,16.614426,versicolor,244
7.118,2.922,5.842,1.88,3.1074468085106384,2.436002737850787,10.982959999999999,20.798796000000003,virginica,317
6.784,2.885,5.481,2.2,2.4913636363636362,2.3514731369150783,12.058200000000001,19.571839999999998,virginica,290
6.032,2.649,4.214,1.28,3.2921875000000003,2.277085692714232,5.3939200000000005,15.978768,versicolor,310
5.757,2.395,4.505,1.409,3.197303051809794,2.4037578288100208,6.347545,13.788015,versicolor,55
4.781,3.554,1.652,0.366,4.5136612021857925,1.3452447945976365,0.604632,16.991674,setosa,228
4.927,3.484,1.671,0.23,7.265217391304348,1.4141791044776117,0.38433,17.165668,setosa,189
4.796,3.284,1.209,0.081,14.925925925925926,1.4604141291108406,0.09792900000000002,15.750064,setosa,183
6.169,2.785,4.162,1.476,2.8197831978319785,2.21508078994614,6.1431119999999995,17.180665,versicolor,199
5.818,2.859,5.413,1.211,4.469859620148638,2.0349772647778943,6.555143000000001,16.633661999999998,versicolor,43
6.622,2.932,5.271,1.679,3.139368671828469,2.258526603001364,8.850009,19.415703999999998,virginica,347
6.832,3.018,5.403,2.118,2.5509915014164304,2.2637508283631544,11.443553999999999,20.618975999999996,virginica,122
6.411,3.042,5.213,1.879,2.774348057477382,2.1074950690335306,9.795227,19.502261999999998,virginica,209
5.08,3.831,1.578,0.203,7.773399014778325,1.3260245366744976,0.32033400000000006,19.46148,setosa,33
6.253,3.0,5.317,1.896,2.8043248945147683,2.0843333333333334,10.081032,18.759,virginica,281
5.153,3.398,0.963,0.261,3.6896551724137927,1.5164802825191288,0.251343,17.509894,setosa,18
6.415,3.302,6.067,1.976,3.070344129554656,1.9427619624470018,11.988392000000001,21.18233,virginica,125
5.975,2.941,4.414,1.361,3.2432035268185158,2.0316218973138387,6.007453999999999,17.572474999999997,versicolor,22
4.941,3.311,1.9,0.073,26.027397260273972,1.4922983992751435,0.1387,16.359651,setosa,21
7.056,3.084,5.143,2.093,2.4572384137601526,2.2879377431906613,10.764299,21.760704,virginica,146
5.21,3.595,0.98,0.136,7.205882352941176,1.4492350486787204,0.13328,18.729950000000002,setosa,174
5.31,3.266,1.456,0.142,10.253521126760564,1.6258420085731782,0.20675199999999996,17.34246,setosa,15
7.002,2.789,6.039,1.787,3.379406827084499,2.5105772678379346,10.791692999999999,19.528578,virginica,62
5.989,3.039,4.663,1.35,3.454074074074074,1.970714050674564,6.295050000000001,18.200571,versicolor,79
5.078,3.475,1.493,0.349,4.277936962750717,1.4612949640287771,0.521057,17.646050000000002,setosa,243
4.958,3.381,1.484,0.333,4.456456456456456,1.4664300502809822,0.494172,16.762998,setosa,207
6.758,3.177,5.561,2.16,2.574537037037037,2.127163991186654,12.01176,21.470166,virginica,5
5.58,2.865,4.42,1.17,3.777777777777778,1.9476439790575915,5.171399999999999,15.9867,versicolor,277
6.507,2.874,5.622,2.084,2.697696737044146,2.264091858037578,11.716248,18.701118,virginica,83
6.644,3.172,4.217,1.275,3.307450980392157,2.094577553593947,5.376674999999999,21.074768000000002,versicolor,154
5.704,2.883,4.451,1.182,3.765651438240271,1.9784946236559138,5.261081999999999,16.444632,versicolor,202
4.849,3.672,1.412,0.178,7.932584269662922,1.3205337690631809,0.25133599999999995,17.805528000000002,setosa,258
4.474,3.368,2.09,0.442,4.728506787330317,1.3283847980997625,0.9237799999999999,15.068432,setosa,273
5.255,3.47,1.75,0.238,7.352941176470589,1.514409221902017,0.4165,18.23485,setosa,42
4.815,3.029,4.451,0.094,47.35106382978723,1.5896335424232422,0.418394,14.584635,setosa,96
6.775,3.139,5.358,2.245,2.3866369710467703,2.158330678560051,12.02871,21.266725,virginica,287
5.278,3.497,2.566,0.245,10.473469387755102,1.5092936802973977,0.62867,18.457165999999997,setosa,51
4.864,3.424,1.686,0.087,19.379310344827587,1.4205607476635513,0.14668199999999998,16.654336,setosa,156
6.646,2.978,5.639,2.139,2.6362786348761107,2.2316991269308257,12.061821,19.791788,virginica,278
6.585,2.688,5.719,1.904,3.0036764705882355,2.4497767857142856,10.888976,17.700480000000002,virginica,164
6.496,3.191,5.381,2.127,2.529854254818994,2.0357254779066127,11.445386999999998,20.728736,virginica,77
5.936,2.559,4.129,1.327,3.111529766390354,2.3196561156701834,5.479182999999999,15.190224,versicolor,232
6.412,2.294,4.238,1.333,3.179294823705927,2.7951176983435047,5.649254,14.709128,versicolor,28
5.804,2.841,4.442,1.398,3.1773962804005724,2.0429426258359733,6.209916,16.489164000000002,versicolor,130
6.199,2.706,4.527,1.334,3.393553223388306,2.2908351810790837,6.039018,16.774494,versicolor,46
5.974,2.804,4.531,1.294,3.5015455950540955,2.130527817403709,5.8631139999999995,16.751096,versicolor,196
5.375,3.302,4.451,0.176,25.289772727272727,1.6278013325257419,0.7833759999999999,17.74825,setosa,129
5.491,2.56,4.394,1.304,3.3696319018404908,2.1449218749999996,5.729776,14.05696,versicolor,250
4.822,3.556,1.56,0.326,4.785276073619632,1.3560179977502813,0.50856,17.147032,setosa,201
4.55,3.593,1.084,0.404,2.6831683168316833,1.2663512385193432,0.43793600000000005,16.34815,setosa,216
6.06,2.765,4.364,1.462,2.9849521203830367,2.1916817359855334,6.380167999999999,16.7559,versicolor,1
4.905,3.221,1.574,0.129,12.2015503875969,1.5228190003104627,0.203046,15.799005000000001,setosa,294
4.833,3.472,1.206,0.239,5.046025104602511,1.3919930875576036,0.288234,16.780176,setosa,231
5.923,3.205,5.591,2.165,2.5824480369515013,1.8480499219968798,12.104515000000001,18.983215,virginica,335
5.983,2.952,4.695,1.142,4.111208406304729,2.026761517615176,5.36169,17.661815999999998,versicolor,76
5.021,3.235,1.774,0.378,4.693121693121693,1.5520865533230295,0.6705720000000001,16.242935,setosa,234
4.772,3.267,1.539,0.134,11.48507462686567,1.460667278849097,0.206226,15.590124000000001,setosa,279
5.339,2.892,1.412,0.251,5.625498007968127,1.8461272475795298,0.354412,15.440388,setosa,165
6.379,2.711,5.915,1.994,2.966399197592778,2.3530062707488013,11.79451,17.293468999999998,virginica,197
5.181,3.419,1.198,0.532,2.25187969924812,1.5153553670663937,0.637336,17.713839,setosa,69
6.259,2.892,5.056,1.402,3.6062767475035664,2.164246196403873,7.088512,18.101028,versicolor,193
6.437,2.944,5.302,1.934,2.741468459152016,2.1864809782608696,10.254067999999998,18.950528000000002,virginica,251
6.529,2.826,5.845,2.081,2.8087457952907258,2.3103326256192496,12.163445,18.450954,virginica,320
5.424,3.255,1.313,0.05,26.259999999999998,1.6663594470046084,0.06565,17.65512,setosa,30
6.454,2.863,5.208,2.127,2.44851904090268,2.254278728606357,11.077416,18.477802,virginica,185
6.452,2.703,4.538,1.288,3.5232919254658386,2.386977432482427,5.844944000000001,17.439756,versicolor,229
5.041,3.67,1.029,0.155,6.638709677419354,1.3735694822888285,0.159495,18.50047,setosa,3
6.065,2.9,4.213,1.12,3.7616071428571427,2.091379310344828,4.718560000000001,17.5885,versicolor,142
6.815,2.617,6.116,2.091,2.9249163079866087,2.604126862820023,12.788556,17.834855,virginica,65
6.402,2.536,6.306,2.044,3.0851272015655575,2.524447949526814,12.889464,16.235472,virginica,260
4.925,3.409,1.341,0.145,9.248275862068965,1.444705192138457,0.19444499999999998,16.789324999999998,setosa,291
7.017,3.139,5.738,2.038,2.8155053974484794,2.2354252946798345,11.694044,22.026363,virginica,227
6.552,2.643,5.897,1.939,3.041258380608561,2.47900113507378,11.434283,17.316936,virginica,98
5.152,3.588,1.013,0.334,3.0329341317365266,1.435897435897436,0.338342,18.485376000000002,setosa,297
6.579,2.725,4.573,1.29,3.544961240310078,2.4143119266055044,5.899170000000001,17.927775,versicolor,268
5.102,3.642,1.809,0.175,10.337142857142858,1.4008786381109282,0.316575,18.581484,setosa,153
4.84,3.191,1.773,0.266,6.6654135338345855,1.516765904105296,0.471618,15.444439999999998,setosa,261
6.075,2.571,4.426,1.345,3.2907063197026023,2.3628938156359394,5.95297,15.618825000000001,versicolor,319
5.164,3.42,1.091,0.142,7.683098591549296,1.5099415204678361,0.15492199999999998,17.66088,setosa,333
6.491,2.886,4.317,1.634,2.6419828641370873,2.249133749133749,7.053978,18.733026,versicolor,292
6.925,2.998,5.837,2.21,2.6411764705882352,2.3098732488325546,12.899769999999998,20.76115,virginica,161
7.112,3.038,4.834,0.988,4.892712550607287,2.3410138248847927,4.775992,21.606256,versicolor,40
4.855,3.458,1.636,0.457,3.5798687089715533,1.4039907460960093,0.747652,16.788590000000003,setosa,270
6.819,3.052,5.543,2.119,2.615856536101935,2.2342726081258193,11.745617000000001,20.811588,virginica,221
4.926,3.412,1.305,0.288,4.53125,1.4437280187573271,0.37583999999999995,16.807512,setosa,348
6.342,2.64,4.301,1.458,2.949931412894376,2.402272727272727,6.2708580000000005,16.74288,versicolor,340
5.836,2.897,4.602,1.347,3.4164810690423164,2.0144977562996207,6.198894,16.906892,versicolor,295
6.625,2.754,4.313,1.495,2.8849498327759195,2.40559186637618,6.447935,18.24525,versicolor,127
6.085,3.052,5.498,2.087,2.6344034499281266,1.9937745740498034,11.474326000000001,18.57142,virginica,131
4.96,3.341,1.303,0.144,9.04861111111111,1.4845854534570486,0.18763199999999997,16.571360000000002,setosa,255
4.854,3.283,0.807,0.275,2.9345454545454546,1.4785257386536705,0.22192500000000004,15.935682,setosa,57
4.967,3.574,1.331,0.228,5.837719298245614,1.389759373251259,0.303468,17.752057999999998,setosa,93
6.264,2.689,4.719,1.299,3.6327944572748274,2.3294905169207882,6.129981,16.843896,versicolor,103
6.878,3.1,5.898,2.086,2.8274209012464047,2.218709677419355,12.303227999999999,21.3218,virginica,248
5.604,2.941,4.21,1.321,3.186979560938683,1.9054743284597078,5.5614099999999995,16.481364,versicolor,325
6.774,2.952,5.095,1.885,2.702917771883289,2.2947154471544717,9.604075,19.996848,virginica,110
4.766,3.449,1.123,0.63,1.7825396825396824,1.3818498115395768,0.70749,16.437934,setosa,150
4.805,3.136,0.987,0.099,9.969696969696969,1.532206632653061,0.09771300000000001,15.06848,setosa,192
6.726,2.797,5.406,2.318,2.3321829163071612,2.404719342152306,12.531108,18.812622,virginica,68
6.2,2.904,4.243,1.14,3.7219298245614043,2.1349862258953167,4.83702,18.0048,versicolor,265
4.907,3.536,2.187,0.472,4.633474576271186,1.3877262443438914,1.0322639999999998,17.351152,setosa,144
6.271,3.264,5.995,2.067,2.900338655055636,1.921262254901961,12.391665000000001,20.468543999999998,virginica,191
5.624,2.849,4.55,1.135,4.008810572687224,1.9740259740259738,5.16425,16.022776,versicolor,304
5.875,2.659,4.037,1.132,3.566254416961131,2.2094772470853705,4.569883999999999,15.621624999999998,versicolor,298
7.065,3.05,5.378,1.778,3.0247469066366706,2.316393442622951,9.562084,21.54825,virginica,308
6.596,2.989,5.955,1.96,3.038265306122449,2.2067581130812983,11.6718,19.715443999999998,virginica,74
6.338,2.979,4.451,1.553,2.8660656793303283,2.1275595837529373,6.912402999999999,18.880902000000003,versicolor,235
6.606,3.104,5.489,2.026,2.7092793682132283,2.128221649484536,11.120714,20.505024,virginica,203
5.841,2.73,4.392,1.662,2.6425992779783396,2.1395604395604395,7.299504000000001,15.94593,versicolor,256
6.46,3.338,5.202,2.04,2.55,1.9352905931695625,10.61208,21.563480000000002,virginica,263
4.641,3.186,1.549,0.136,11.38970588235294,1.4566854990583804,0.21066400000000002,14.786226,setosa,267
5.533,2.582,3.779,1.19,3.1756302521008406,2.14291247095275,4.4970099999999995,14.286206,versicolor,109
6.005,2.679,4.905,1.627,3.014751075599263,2.2415080253826054,7.980435000000001,16.087394999999997,versicolor,34
5.051,3.711,1.398,0.082,17.048780487804876,1.3610886553489627,0.114636,18.744261,setosa,138
6.599,3.029,5.561,2.019,2.7543338286280337,2.1786068009243977,11.227659000000001,19.988371,virginica,206
4.668,3.32,1.229,0.289,4.2525951557093435,1.4060240963855424,0.355181,15.49776,setosa,162
6.482,3.412,5.463,1.947,2.805855161787365,1.899765533411489,10.636461,22.116584,virginica,338
5.975,2.642,4.116,1.355,3.0376383763837635,2.261544284632854,5.577179999999999,15.785949999999998,versicolor,118
6.759,2.961,5.169,2.012,2.5690854870775346,2.2826747720364744,10.400027999999999,20.013399,virginica,29
6.168,3.086,5.206,2.175,2.393563218390805,1.998703823720026,11.32305,19.034448,virginica,167
6.523,3.029,5.808,2.023,2.870983687592684,2.1535160118851104,11.749584,19.758167,virginica,326
6.538,2.638,4.067,1.183,3.437869822485207,2.4783927217589086,4.811261,17.247244,versicolor,139
5.958,2.331,4.609,1.375,3.352,2.555984555984556,6.337375,13.888098,versicolor,289
5.214,3.481,1.206,0.32,3.76875,1.4978454467107154,0.38592,18.149934000000002,setosa,237
4.795,3.526,1.495,0.1,14.950000000000001,1.3598979013045944,0.14950000000000002,16.907169999999997,setosa,285
5.745,3.108,4.715,1.366,3.4516837481698386,1.8484555984555984,6.44069,17.85546,versicolor,346
6.584,2.494,4.123,1.432,2.8791899441340787,2.6399358460304727,5.904136,16.420496,versicolor,274
6.279,2.62,4.551,1.125,4.045333333333334,2.396564885496183,5.119875,16.45098,versicolor,88
6.227,2.791,4.162,1.434,2.902370990237099,2.2310999641705482,5.9683079999999995,17.379557000000002,versicolor,37
6.618,3.007,5.191,2.116,2.453213610586011,2.2008646491519785,10.984156,19.900326000000003,virginica,137
5.434,3.328,1.533,0.156,9.826923076923077,1.6328125000000002,0.239148,18.084352,setosa,108
6.343,2.855,5.817,1.976,2.9438259109311744,2.2217162872154117,11.494392,18.109265,virginica,182
6.387,2.553,5.23,1.297,4.032382420971473,2.5017626321974147,6.78331,16.306010999999998,versicolor,190
4.461,3.461,1.797,0.323,5.563467492260061,1.2889338341519794,0.580431,15.439521000000001,setosa,84
5.376,2.669,3.705,1.282,2.8900156006240247,2.0142375421506182,4.74981,14.348544,versicolor,187
6.694,2.993,5.818,2.42,2.4041322314049585,2.2365519545606416,14.079559999999999,20.035142,virginica,233
4.876,2.882,1.972,0.197,10.01015228426396,1.691880638445524,0.388484,14.052632000000001,setosa,318
4.885,3.207,1.554,0.159,9.773584905660378,1.5232304334268787,0.247086,15.666194999999998,setosa,312
6.15,2.953,5.003,1.216,4.114309210526316,2.0826278360988826,6.083648,18.16095,versicolor,52
5.544,3.032,4.363,1.309,3.333078686019863,1.8284960422163588,5.7111670000000005,16.809407999999998,versicolor,334
4.683,3.015,2.185,0.065,33.61538461538461,1.553233830845771,0.142025,14.119245,setosa,324
6.52,2.845,6.152,1.951,3.1532547411583804,2.2917398945518452,12.002552000000001,18.5494,virginica,149
5.208,3.335,0.992,0.331,2.996978851963746,1.5616191904047976,0.32835200000000003,17.36868,setosa,117
4.621,3.128,1.287,0.245,5.253061224489795,1.47730179028133,0.31531499999999996,14.454488000000001,setosa,24
4.733,3.488,0.994,0.303,3.2805280528052805,1.3569380733944953,0.301182,16.508703999999998,setosa,36
4.723,3.418,1.221,0.05,24.42,1.3818022235225278,0.06105000000000001,16.143214,setosa,99
6.8,3.107,5.502,2.217,2.4817320703653585,2.188606372706791,12.197934,21.1276,virginica,296
5.198,3.49,1.497,0.151,9.913907284768213,1.4893982808022923,0.226047,18.14102,setosa,186
5.27,2.745,4.181,1.183,3.534234995773457,1.919854280510018,4.946123,14.466149999999999,versicolor,151
5.932,2.588,3.893,1.654,2.353688029020556,2.2921174652241114,6.439022,15.352016,versicolor,283
6.698,2.902,5.379,2.06,2.6111650485436892,2.3080634045485873,11.080739999999999,19.437596000000003,virginica,41
6.771,2.928,6.15,2.165,2.840646651270208,2.3125,13.314750000000002,19.825488,virginica,194
5.982,2.72,4.979,1.214,4.101317957166392,2.199264705882353,6.044506,16.271040000000003,versicolor,64
6.513,3.054,5.645,2.188,2.5799817184643508,2.132612966601179,12.35126,19.890701999999997,virginica,275
6.429,3.16,5.583,1.879,2.971261309207025,2.034493670886076,10.490457000000001,20.315640000000002,virginica,236
6.458,2.475,5.629,1.86,3.026344086021505,2.609292929292929,10.46994,15.983550000000001,virginica,23
6.151,2.933,4.3,1.271,3.3831628638867035,2.0971701329696555,5.465299999999999,18.040882999999997,versicolor,136
5.343,3.225,1.689,0.395,4.275949367088607,1.6567441860465115,0.667155,17.231175,setosa,177
6.025,2.511,4.637,1.159,4.000862812769628,2.399442453205894,5.374282999999999,15.128775000000001,versicolor,184
6.269,3.182,5.514,2.183,2.5258818140174077,1.9701445631678192,12.037061999999999,19.947958,virginica,50
4.908,3.594,1.994,0.548,3.638686131386861,1.3656093489148582,1.0927120000000001,17.639352000000002,setosa,195
5.091,3.462,2.13,0.223,9.551569506726457,1.4705372616984402,0.47498999999999997,17.625042,setosa,336
6.111,2.809,4.072,1.206,3.3764510779436154,2.175507297970808,4.910832,17.165799,versicolor,343
6.671,2.965,5.676,1.922,2.9531737773152966,2.2499156829679596,10.909272,19.779515,virginica,173
4.923,3.24,1.268,0.05,25.36,1.5194444444444444,0.0634,15.950520000000001,setosa,111
6.242,2.86,5.263,2.088,2.5205938697318007,2.1825174825174827,10.989144,17.85212,virginica,80
6.643,3.163,5.844,2.133,2.739803094233474,2.100221308883971,12.465252000000001,21.011809,virginica,323
6.598,2.993,4.227,1.269,3.3309692671394804,2.2044771132642835,5.364063,19.747813999999998,versicolor,175
5.393,2.954,1.667,0.417,3.9976019184652283,1.8256601218686526,0.695139,15.930922,setosa,339
5.705,2.773,4.099,1.604,2.5554862842892767,2.0573386224305805,6.574796000000001,15.819965000000002,versicolor,82
5.832,2.906,4.286,1.668,2.5695443645083933,2.0068823124569852,7.149047999999999,16.947792,versicolor,4
6.273,2.999,5.68,2.072,2.741312741312741,2.0916972324108034,11.76896,18.812727,virginica,143
6.314,2.973,5.6,2.148,2.6070763500931093,2.123780692902792,12.0288,18.771522,virginica,302
6.71,3.025,5.285,2.109,2.50592697961119,2.2181818181818183,11.146065,20.29775,virginica,230
6.573,2.974,5.274,2.139,2.465638148667602,2.2101546738399462,11.281085999999998,19.548102000000004,virginica,113
6.855,2.824,5.825,1.923,3.029121164846594,2.4274079320113318,11.201475,19.35852,virginica,215
5.622,3.285,0.567,0.162,3.4999999999999996,1.7114155251141552,0.09185399999999999,18.46827,setosa,342
5.09,3.541,1.335,0.406,3.2881773399014773,1.4374470488562552,0.54201,18.02369,setosa,102
4.686,2.884,1.299,0.264,4.920454545454545,1.6248266296809986,0.342936,13.514424,setosa,288
7.088,3.128,5.71,1.898,3.0084299262381458,2.265984654731458,10.837579999999999,22.171264,virginica,14
5.062,3.139,1.558,0.05,31.16,1.612615482637783,0.07790000000000001,15.889618,setosa,309
6.409,2.93,4.223,1.238,3.4111470113085622,2.187372013651877,5.228073999999999,18.77837,versicolor,259
4.683,3.317,1.586,0.361,4.393351800554017,1.411817907747965,0.572546,15.533511,setosa,120
6.026,2.777,3.939,1.302,3.0253456221198154,2.169967590925459,5.128578,16.734202,versicolor,112
5.009,3.669,1.256,0.136,9.235294117647058,1.3652221313709458,0.17081600000000002,18.378021,setosa,48
6.401,2.61,4.509,1.419,3.177589852008457,2.4524904214559387,6.398271,16.706609999999998,versicolor,16
6.15,2.92,5.219,2.142,2.4365079365079367,2.106164383561644,11.179098,17.958000000000002,virginica,17
6.018,2.942,4.867,1.28,3.80234375,2.045547246770904,6.22976,17.704956,versicolor,217
